t,x_L,x_R
4.61,-0.9175151911325194,0.9069970435066503
4.615,-0.7991505588985423,0.7822423659683587
4.62,-0.6638376281094792,0.6517072961798831
4.625,-0.5261137601144382,0.5015628379012604
4.63,-0.37559913263797706,0.34580697265860716
4.635,-0.22563493891533068,0.18434324781833505
4.64,-0.06374753700225913,0.016777942086844598
4.6450000000000005,0.1004277742704993,-0.14871818341019802
4.65,0.25835740525875567,-0.30924678759199153
4.655,0.4115184061382377,-0.462602820218103
4.66,0.5581163609879333,-0.6121198113189504
4.665,0.7012117689646962,-0.7518271981240212
4.67,0.8222726166910216,-0.8798399577692911
4.675,0.9395623725433583,-0.9945936154083017
4.68,1.0362411395559967,-1.0938244895159956
4.6850000000000005,1.1181517110690724,-1.170523079494462
4.69,1.1813526403687713,-1.2287474399309875
4.695,1.2239652437237278,-1.2710312482060726
4.7,1.2578338788942098,-1.2933975758218088
4.705,1.2693459092772834,-1.2899818024639542
4.71,1.2596431616913797,-1.267180104898335
4.715,1.2217605611110547,-1.225407516139073
4.72,1.1663924403914636,-1.1653844587513216
4.7250000000000005,1.0949169941675758,-1.0885879926767141
4.73,1.0148344565081346,-0.9949292727112901
4.735,0.9136649663423466,-0.8826756567144175
4.74,0.7975112953857243,-0.75729083928628
4.745,0.6663958768233182,-0.6210287661718445
4.75,0.5249376302105736,-0.47592452722824785
4.755,0.3743627534532214,-0.3207090806669866
4.76,0.22009745410870304,-0.16037716813544
4.765,0.05607296999553749,0.004717637902840221
4.7700000000000005,-0.10385537094145487,0.1615263568546431
4.775,-0.25473646662881394,0.3285733114889758
4.78,-0.41079865829525847,0.48190264306557523
4.785,-0.5587072009211931,0.6224850466254148
4.79,-0.7006403752149853,0.7514546397159265
4.795,-0.8348949513810002,0.8788599267716365
4.8,-0.9457125143924927,0.9876752267249739
4.805,-1.0468939436467475,1.088708201925602
4.8100000000000005,-1.1202691539527534,1.1640311359991709
4.815,-1.184791679041842,1.2186845223852614
4.82,-1.231204915161248,1.257929631673928
4.825,-1.2630543779928758,1.2795219998184326
4.83,-1.2629162347986103,1.28024198911593
4.835,-1.2481156567417364,1.258242656076244
4.84,-1.2089632323090398,1.2152496413367617
4.845,-1.1538758202470774,1.1528913168032462
4.8500000000000005,-1.0844509575238566,1.0751032973495702
4.855,-1.000168516985137,0.9817555665351726
4.86,-0.8949032116836635,0.8688108751355865
4.865,-0.7668092442671077,0.737954390953899
4.87,-0.6366347313168175,0.6020062191461046
4.875,-0.4963775172996355,0.45611048168221374
4.88,-0.3467598826194032,0.3052698195700835
4.885,-0.19730178923770922,0.15005161441779155
4.89,-0.046993930483541765,-0.009661061385002886
4.8950000000000005,0.1090925951658154,-0.1735905135275376
4.9,0.26164600255950793,-0.3320417414540797
4.905,0.4101849795661744,-0.4903928136941116
4.91,0.554462644427411,-0.639205756752469
4.915,0.6918003472899187,-0.772992934662014
4.92,0.8217064212396389,-0.8988396438864897
4.925,0.931566000067568,-0.9971127891989309
4.93,1.0230246448807943,-1.0917647031411664
4.9350000000000005,1.1132548023386093,-1.1669184582900616
4.94,1.1853793731628366,-1.2222838916816328
4.945,1.2314260707682791,-1.2584866038199942
4.95,1.2595498402589496,-1.2755428662697832
4.955,1.2662122389075285,-1.2734162745591322
4.96,1.2516177161122841,-1.254158682171235
4.965,1.2176902948570643,-1.2079782487620117
4.97,1.1624992842203754,-1.1487519754646411
4.9750000000000005,1.0908602612328662,-1.0655527076098297
4.98,1.0045254006149744,-0.9726290437630584
4.985,0.9053429761466871,-0.8579791539569673
4.99,0.7843255324971663,-0.7347014809506615
4.995,0.6530125657341453,-0.597571566221112
5.0,0.5092440320746335,-0.44994353681946003
5.005,0.3616462186734341,-0.2937654013436937
5.01,0.20197459516970637,-0.13281970689603495
5.015,0.04287192544173804,0.029678500684799637
5.0200000000000005,-0.10934100914603628,0.19021012808499216
5.025,-0.26911239190190406,0.35584296664282017
5.03,-0.422024849689098,0.5034057586602694
5.035,-0.5781674210718302,0.6502501569326453
5.04,-0.7234429609725823,0.7867807060987451
5.045,-0.8529092317145726,0.9054074813188959
5.05,-0.9659487430328054,1.0107064384166573
5.055,-1.0590873612756848,1.1011815010483184
5.0600000000000005,-1.1416825950734713,1.176210462587076
5.065,-1.2085049650881785,1.2244056502434855
5.07,-1.2542072728973168,1.262998556824681
5.075,-1.2749084814550915,1.275138216017415
5.08,-1.283518943239175,1.2644650673183226
5.085,-1.2704623859212711,1.2373679182901076
5.09,-1.2358978107020553,1.1922101002075143
5.095,-1.1789193753514355,1.1262473585911963
5.1000000000000005,-1.1017853052642335,1.0494018630363118
5.105,-1.0133043073968113,0.9475630543747513
5.11,-0.9052443509070165,0.8297092833159602
5.115,-0.7904355530735404,0.7076265122642794
5.12,-0.6603260500767286,0.5630741386835505
5.125,-0.5178544788963038,0.41699147358040983
5.13,-0.3672918667324797,0.26433717245819244
5.135,-0.210811974567141,0.10490679297021008
5.14,-0.04584190206619633,-0.06224003818918503
5.1450000000000005,0.1156212494368407,-0.22646589955484217
5.15,0.2782977951792497,-0.3813685730304479
5.155,0.42878410109253867,-0.5329975295774565
5.16,0.5839881679918013,-0.674316472949518
5.165,0.725664357635491,-0.807217124748324
5.17,0.8579589402013362,-0.9220723892702326
5.175,0.9731200716163224,-1.0338725071198596
5.18,1.07667877568504,-1.1154371880961438
5.1850000000000005,1.1691150064408042,-1.1852766941326762
5.19,1.2317162183578048,-1.23691011284395
5.195,1.2730482422529512,-1.2713013714136454
5.2,1.2948183285243713,-1.2877694152554184
5.205,1.2974344800063555,-1.2754773785986906
5.21,1.2805320927595845,-1.247334318838722
5.215,1.2400997416595907,-1.1936430811902101
5.22,1.178839972704376,-1.1268496711336957
5.2250000000000005,1.1028038185969846,-1.0408963471269586
5.23,1.0039238576906073,-0.9407466681159306
5.235,0.88758002372637,-0.8264689701119784
5.24,0.7607762357408977,-0.6911002662757368
5.245,0.6168200492013897,-0.553562944699984
5.25,0.46071987899408423,-0.40810663464028435
5.255,0.30644009442086634,-0.2550599952885118
5.26,0.14841838823272424,-0.09724610156204667
5.265,-0.018215201521072838,0.06244506011387916
5.2700000000000005,-0.19165992746580024,0.21906696538874032
5.275,-0.3551700663294955,0.37502690600551736
5.28,-0.4989126065320941,0.5289755180219692
5.285,-0.6440438094957995,0.6701246147818081
5.29,-0.7745940586672138,0.7999339342675211
5.295,-0.8974535744421198,0.924084236809548
5.3,-1.0074056345148785,1.0271937721254216
5.305,-1.1051980744399437,1.112635895551805
5.3100000000000005,-1.1739026158294323,1.179872029997104
5.315,-1.2355246935480386,1.2280161381705195
5.32,-1.2709847497918223,1.2603050337769321
5.325,-1.2892002830548621,1.2721532932415813
5.33,-1.289469241035812,1.2683630090442584
5.335,-1.261585136881035,1.2413429564633696
5.34,-1.2135882961787778,1.1900973656088927
5.345,-1.1426360824178927,1.122853029342034
5.3500000000000005,-1.0614927361839486,1.0291955026908841
5.355,-0.9641294511165186,0.922631893456657
5.36,-0.8524831491518126,0.8079234900833208
5.365,-0.7194671292053307,0.6775183961451049
5.37,-0.5703394240841999,0.5312728063614363
5.375,-0.4192331490318736,0.3815960659471111
5.38,-0.2593008265073493,0.22047883683684036
5.385,-0.09600504939879474,0.06368232357782236
5.39,0.0691987934879436,-0.10026045038697948
5.3950000000000005,0.22927113213038974,-0.25756759313687827
5.4,0.38134530776593306,-0.4122673855536219
5.405,0.5346141833912325,-0.5627409888799562
5.41,0.6788823109464005,-0.6967477830694551
5.415,0.8118486130052288,-0.8257576667154051
